Back to 3000 ELO,
https://youtu.be/hyAhvdIvtzQ?si=ktVla-e_mnR-ol-l&t=18,https://www.chess.com/game/live/5922405198?username=senseidanya
https://youtu.be/hyAhvdIvtzQ?si=jHL2XvacnaNtleME&t=903,https://www.chess.com/game/live/5922476743?username=senseidanya
https://youtu.be/3UqPa5eV2e0?si=qZ4uEeLRsWHoJwzz&t=9,https://www.chess.com/game/live/5922550583?username=senseidanya
https://youtu.be/3UqPa5eV2e0?si=F3qkdyUt4uV2CcVj&t=988,https://www.chess.com/game/live/5930613572?username=senseidanya
https://youtu.be/bIxvPbhuTpo?si=DFu4tyMqWrhY2gVO&t=8,https://www.chess.com/game/live/5930689030?username=senseidanya
https://youtu.be/bIxvPbhuTpo?si=wmTPvrcFUOgYhoUc&t=798,https://www.chess.com/game/live/5930756903?username=senseidanya
https://youtu.be/7uxRcomJo7I?si=AXE_fNzVop8a4FEW,https://www.chess.com/game/live/5930854169?username=senseidanya
https://youtu.be/7uxRcomJo7I?si=SZqZMsA3pX93DIoj&t=1181,https://www.chess.com/game/live/5930953026?username=senseidanya
https://youtu.be/VEwKZo8l7yY?si=8XridlJWlXokNV61&t=1,https://www.chess.com/game/live/5938375354?username=senseidanya
https://youtu.be/CfCoA7jQu84?si=4WdpIxCVP8jDU2Zf&t=5,https://www.chess.com/game/live/5938484875?username=senseidanya
https://youtu.be/CfCoA7jQu84?si=OWwcsPFVU9x022io&t=863,https://www.chess.com/game/live/5938544567?username=senseidanya
https://youtu.be/W6nkqNrWVrk?si=m8s9M_mamvEVT3Ca&t=8,https://www.chess.com/game/live/5938621786?username=senseidanya
https://youtu.be/W6nkqNrWVrk?si=wakm3cJiT9_hOFW2&t=1124,https://www.chess.com/game/live/5970848042?username=senseidanya
https://youtu.be/gOKiOKPv-X0?si=FmdahMywnhIAI5pr&t=9,https://www.chess.com/game/live/5970898646?username=senseidanya
https://youtu.be/gOKiOKPv-X0?si=MewxiVWXlEi4dACr&t=822,https://www.chess.com/game/live/5970963895?username=senseidanya
https://youtu.be/7f2sPY2U204?si=1w5-h_bPjRKtVeXx&t=3,https://www.chess.com/game/live/5971058460?username=senseidanya
https://youtu.be/7f2sPY2U204?si=ah-dtMgu_Z_GvNm7&t=720,https://www.chess.com/game/live/5978683235?username=senseidanya
https://youtu.be/CpaJYTaDHM0?si=1BsVkIGdMFSOpRP5&t=12,https://www.chess.com/game/live/5978762512?username=senseidanya
https://youtu.be/j4-gTbXfwXg?si=RaBtvwo2Yi9c7GMh&t=2,https://www.chess.com/game/live/5978933171?username=senseidanya
https://youtu.be/j4-gTbXfwXg?si=JnW-tzenEGV9WU2g&t=949,https://www.chess.com/game/live/5979001056?username=senseidanya
https://youtu.be/j4-gTbXfwXg?si=WJ0UL1-Jr6BRhn2s&t=1315,https://www.chess.com/game/live/5979027194?username=senseidanya
https://youtu.be/EfHnGTCO1s4?si=rkfEirHc99IQgq-7&t=46,https://www.chess.com/game/live/5986841186?username=senseidanya
https://youtu.be/uVQKL83tZb0?si=rhpvk7RaY8q263kv&t=8,https://www.chess.com/game/live/5986986732?username=senseidanya
https://youtu.be/uVQKL83tZb0?si=G9OMLfMhn_fuJ3T7&t=1463,https://www.chess.com/game/live/5987138806?username=senseidanya
https://youtu.be/E0cMsom-N7E?si=5EjQgcfCiwDyB__O&t=30,https://www.chess.com/game/live/5987206352?username=senseidanya
https://youtu.be/E0cMsom-N7E?si=zIqB0tHQscHo5i16&t=1176,https://www.chess.com/game/live/5987288585?username=senseidanya
https://youtu.be/1AMYr01rkHE?si=wHbHOaE3ZJrSqO-e&t=7,https://www.chess.com/game/live/5987341761?username=senseidanya
https://youtu.be/JEMVGw2WdCE?si=jdcce9HnK6X1dcp0&t=19,https://www.chess.com/game/live/5994020422?username=senseidanya
https://youtu.be/JEMVGw2WdCE?si=NxmguV8_8ZW_mKeE&t=1051,https://www.chess.com/game/live/5994112788?username=senseidanya
