The Sensei Speedrun,
https://youtu.be/QxHsw4ZS2Ts?si=7V6eWR6_kzc5wpQ2&t=8,https://www.chess.com/game/live/57224835271?username=senseidanya
https://youtu.be/1GSLXUHTrzc?si=dZjKWlyMnqBa_oV9&t=61,https://www.chess.com/game/live/57739806269?username=senseidanya
https://youtu.be/7ntWn4K1_E4?si=vEK4p2vdMASle1gt&t=10,https://www.chess.com/analysis/game/live/58001369729
https://youtu.be/RehhbTF00qQ?si=4mdBR44m1qlyXpou&t=21,https://www.chess.com/game/live/58059652979?username=senseidanya
https://youtu.be/8wVtlbPj9bo?si=X4OctnIqWbIwGKnf&t=8,https://www.chess.com/game/live/58225770627?username=senseidanya
https://youtu.be/NkfhN1_sC4E?si=bZZYWC_xYe2aLfNw&t=31,https://www.chess.com/game/live/58601374263?username=senseidanya
https://youtu.be/LuezTOsWVMk?si=rBH95TfjvxTe9Et_&t=11,https://www.chess.com/game/live/58690780399?username=senseidanya
https://youtu.be/MmF7dhysiAQ?si=w0oeD3TdVjhIQL32&t=13,https://www.chess.com/game/live/58859368561?username=senseidanya
https://youtu.be/475QvJRimkI?si=OeiGuNuYxUDvow_3&t=9,https://www.chess.com/game/live/59206216069?username=senseidanya
https://youtu.be/d6tZXETpqT0?si=gE-al-zA4twuuDOw&t=11,https://www.chess.com/game/live/60244773151?username=senseidanya
https://youtu.be/6JsSbmpj7UQ?si=ZAe1ELIgJ3fFkDOA&t=47,https://www.chess.com/game/live/60333063585?username=senseidanya
https://youtu.be/9JUlD51s6zE?si=M-2JmhgGjN0I2l7D&t=13,https://www.chess.com/game/live/60480670347?username=senseidanya
